Vin ,N10:d wcor 1.5e-06  (A),N10:d wcor 3e-06  (A),N10:d wcor 6e-06  (A),N10:d wcor 1.5e-05  (A),N10:d wcor 2.25e-05  (A),N10:d wcor 3.3e-05  (A)
920.0E-3,6.569E-12,6.713E-12,6.835E-12,6.968E-12,7.019E-12,7.066E-12
930.0E-3,7.365E-12,7.518E-12,7.648E-12,7.788E-12,7.843E-12,7.893E-12
940.0E-3,8.400E-12,8.562E-12,8.702E-12,8.852E-12,8.911E-12,8.964E-12
950.0E-3,9.738E-12,9.914E-12,10.06E-12,10.23E-12,10.29E-12,10.35E-12
960.0E-3,11.47E-12,11.66E-12,11.82E-12,12.00E-12,12.07E-12,12.14E-12
970.0E-3,13.69E-12,13.91E-12,14.09E-12,14.29E-12,14.37E-12,14.44E-12
980.0E-3,16.56E-12,16.81E-12,17.02E-12,17.24E-12,17.33E-12,17.41E-12
990.0E-3,20.26E-12,20.53E-12,20.77E-12,21.03E-12,21.14E-12,21.23E-12
1.000,25.00E-12,25.32E-12,25.61E-12,25.91E-12,26.03E-12,26.14E-12
1.010,31.10E-12,31.48E-12,31.82E-12,32.18E-12,32.32E-12,32.45E-12
1.020,38.93E-12,39.39E-12,39.79E-12,40.23E-12,40.40E-12,40.55E-12
1.030,48.98E-12,49.54E-12,50.03E-12,50.56E-12,50.77E-12,50.96E-12
1.040,61.87E-12,62.56E-12,63.17E-12,63.82E-12,64.08E-12,64.31E-12
1.050,78.41E-12,79.27E-12,80.03E-12,80.84E-12,81.16E-12,81.44E-12
1.060,99.62E-12,100.7E-12,101.6E-12,102.7E-12,103.1E-12,103.4E-12
1.070,126.8E-12,128.2E-12,129.4E-12,130.6E-12,131.1E-12,131.6E-12
1.080,161.6E-12,163.3E-12,164.9E-12,166.5E-12,167.1E-12,167.7E-12
1.090,206.2E-12,208.4E-12,210.4E-12,212.4E-12,213.3E-12,214.0E-12
1.100,263.3E-12,266.1E-12,268.6E-12,271.3E-12,272.3E-12,273.2E-12
1.110,336.4E-12,340.0E-12,343.2E-12,346.6E-12,347.9E-12,349.1E-12
1.120,429.8E-12,434.5E-12,438.6E-12,443.0E-12,444.7E-12,446.2E-12
1.130,549.2E-12,555.3E-12,560.6E-12,566.3E-12,568.5E-12,570.4E-12
1.140,701.7E-12,709.6E-12,716.5E-12,723.8E-12,726.6E-12,729.1E-12
1.150,896.2E-12,906.5E-12,915.4E-12,924.9E-12,928.6E-12,931.8E-12
1.160,1.144E-9,1.157E-9,1.169E-9,1.181E-9,1.186E-9,1.190E-9
1.170,1.460E-9,1.477E-9,1.492E-9,1.508E-9,1.514E-9,1.520E-9
1.180,1.860E-9,1.883E-9,1.903E-9,1.924E-9,1.932E-9,1.939E-9
1.190,2.368E-9,2.398E-9,2.424E-9,2.452E-9,2.462E-9,2.471E-9
1.200,3.011E-9,3.051E-9,3.084E-9,3.120E-9,3.133E-9,3.145E-9
1.210,3.821E-9,3.873E-9,3.918E-9,3.964E-9,3.981E-9,3.996E-9
1.220,4.838E-9,4.908E-9,4.966E-9,5.026E-9,5.049E-9,5.068E-9
1.230,6.109E-9,6.202E-9,6.279E-9,6.358E-9,6.387E-9,6.412E-9
1.240,7.689E-9,7.814E-9,7.915E-9,8.018E-9,8.056E-9,8.088E-9
1.250,9.639E-9,9.807E-9,9.941E-9,10.07E-9,10.12E-9,10.17E-9
1.260,12.03E-9,12.25E-9,12.43E-9,12.60E-9,12.67E-9,12.72E-9
1.270,14.92E-9,15.23E-9,15.46E-9,15.68E-9,15.76E-9,15.83E-9
1.280,18.39E-9,18.80E-9,19.10E-9,19.40E-9,19.50E-9,19.59E-9
1.290,22.49E-9,23.03E-9,23.43E-9,23.81E-9,23.94E-9,24.05E-9
1.300,27.26E-9,27.98E-9,28.50E-9,28.98E-9,29.14E-9,29.27E-9
1.310,32.71E-9,33.65E-9,34.31E-9,34.92E-9,35.12E-9,35.28E-9
1.320,38.82E-9,40.00E-9,40.85E-9,41.60E-9,41.84E-9,42.04E-9
1.330,45.48E-9,46.95E-9,48.01E-9,48.93E-9,49.22E-9,49.45E-9
1.340,52.50E-9,54.31E-9,55.61E-9,56.72E-9,57.06E-9,57.32E-9
1.350,59.60E-9,61.79E-9,63.37E-9,64.68E-9,65.06E-9,65.36E-9
1.360,66.33E-9,68.98E-9,70.86E-9,72.38E-9,72.81E-9,73.13E-9
1.370,72.16E-9,75.33E-9,77.56E-9,79.30E-9,79.78E-9,80.12E-9
1.380,76.62E-9,80.31E-9,82.87E-9,84.83E-9,85.33E-9,85.69E-9
1.390,79.41E-9,83.47E-9,86.28E-9,88.40E-9,88.93E-9,89.30E-9
1.400,80.35E-9,84.55E-9,87.45E-9,89.63E-9,90.18E-9,90.55E-9
1.410,79.41E-9,83.47E-9,86.28E-9,88.40E-9,88.93E-9,89.30E-9
1.420,76.62E-9,80.30E-9,82.86E-9,84.82E-9,85.33E-9,85.68E-9
1.430,72.13E-9,75.30E-9,77.53E-9,79.27E-9,79.74E-9,80.08E-9
1.440,66.27E-9,68.91E-9,70.79E-9,72.31E-9,72.74E-9,73.06E-9
1.450,59.50E-9,61.68E-9,63.25E-9,64.55E-9,64.94E-9,65.23E-9
1.460,52.35E-9,54.14E-9,55.44E-9,56.54E-9,56.88E-9,57.14E-9
1.470,45.27E-9,46.73E-9,47.78E-9,48.69E-9,48.98E-9,49.21E-9
1.480,38.57E-9,39.73E-9,40.57E-9,41.32E-9,41.56E-9,41.75E-9
1.490,32.42E-9,33.34E-9,34.00E-9,34.59E-9,34.79E-9,34.95E-9
1.500,26.94E-9,27.64E-9,28.15E-9,28.62E-9,28.78E-9,28.91E-9
1.510,22.15E-9,22.68E-9,23.07E-9,23.44E-9,23.56E-9,23.67E-9
1.520,18.05E-9,18.44E-9,18.74E-9,19.02E-9,19.12E-9,19.20E-9
1.530,14.58E-9,14.87E-9,15.10E-9,15.31E-9,15.39E-9,15.46E-9
1.540,11.70E-9,11.91E-9,12.08E-9,12.25E-9,12.31E-9,12.36E-9
1.550,9.333E-9,9.489E-9,9.615E-9,9.742E-9,9.788E-9,9.829E-9
1.560,7.405E-9,7.520E-9,7.614E-9,7.711E-9,7.747E-9,7.778E-9
1.570,5.850E-9,5.934E-9,6.005E-9,6.079E-9,6.106E-9,6.130E-9
1.580,4.605E-9,4.667E-9,4.720E-9,4.776E-9,4.797E-9,4.815E-9
1.590,3.614E-9,3.660E-9,3.700E-9,3.742E-9,3.758E-9,3.772E-9
1.600,2.829E-9,2.863E-9,2.893E-9,2.925E-9,2.937E-9,2.948E-9
1.610,2.209E-9,2.235E-9,2.258E-9,2.282E-9,2.291E-9,2.299E-9
1.620,1.723E-9,1.742E-9,1.759E-9,1.777E-9,1.784E-9,1.791E-9
1.630,1.341E-9,1.355E-9,1.368E-9,1.382E-9,1.388E-9,1.393E-9
1.640,1.043E-9,1.054E-9,1.063E-9,1.074E-9,1.078E-9,1.082E-9
1.650,810.4E-12,818.2E-12,825.7E-12,833.8E-12,836.9E-12,839.7E-12
1.660,629.1E-12,634.9E-12,640.6E-12,646.8E-12,649.2E-12,651.3E-12
1.670,488.1E-12,492.4E-12,496.7E-12,501.4E-12,503.3E-12,504.9E-12
1.680,378.6E-12,381.7E-12,385.0E-12,388.6E-12,390.0E-12,391.3E-12
