Vin ,N10:d wdif 1.5e-06  (A),N10:d wdif 6e-06  (A),N10:d wdif 1.5e-05  (A),N10:d wdif 3.3e-05  (A),N10:d wdif 6.3e-05  (A)
390.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
400.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
410.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
420.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
430.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
440.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
450.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
460.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
470.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
480.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
490.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
500.0E-3,4.807E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
510.0E-3,4.808E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
520.0E-3,4.808E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
530.0E-3,4.808E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
540.0E-3,4.808E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
550.0E-3,4.809E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
560.0E-3,4.809E-12,4.551E-12,4.469E-12,4.423E-12,4.393E-12
570.0E-3,4.810E-12,4.552E-12,4.469E-12,4.423E-12,4.393E-12
580.0E-3,4.810E-12,4.552E-12,4.469E-12,4.423E-12,4.393E-12
590.0E-3,4.811E-12,4.552E-12,4.470E-12,4.423E-12,4.394E-12
600.0E-3,4.812E-12,4.552E-12,4.470E-12,4.423E-12,4.394E-12
610.0E-3,4.814E-12,4.553E-12,4.470E-12,4.424E-12,4.394E-12
620.0E-3,4.816E-12,4.553E-12,4.470E-12,4.424E-12,4.394E-12
630.0E-3,4.818E-12,4.554E-12,4.471E-12,4.424E-12,4.394E-12
640.0E-3,4.821E-12,4.555E-12,4.471E-12,4.425E-12,4.395E-12
650.0E-3,4.825E-12,4.556E-12,4.472E-12,4.425E-12,4.395E-12
660.0E-3,4.830E-12,4.557E-12,4.473E-12,4.426E-12,4.396E-12
670.0E-3,4.837E-12,4.559E-12,4.474E-12,4.427E-12,4.397E-12
680.0E-3,4.845E-12,4.562E-12,4.476E-12,4.428E-12,4.398E-12
690.0E-3,4.855E-12,4.565E-12,4.478E-12,4.430E-12,4.399E-12
700.0E-3,4.869E-12,4.569E-12,4.481E-12,4.432E-12,4.401E-12
710.0E-3,4.886E-12,4.574E-12,4.484E-12,4.435E-12,4.403E-12
720.0E-3,4.908E-12,4.581E-12,4.489E-12,4.438E-12,4.407E-12
730.0E-3,4.936E-12,4.589E-12,4.495E-12,4.443E-12,4.411E-12
740.0E-3,4.972E-12,4.600E-12,4.502E-12,4.449E-12,4.416E-12
750.0E-3,5.018E-12,4.615E-12,4.512E-12,4.456E-12,4.422E-12
760.0E-3,5.077E-12,4.633E-12,4.524E-12,4.466E-12,4.431E-12
770.0E-3,5.154E-12,4.657E-12,4.540E-12,4.479E-12,4.442E-12
780.0E-3,5.252E-12,4.687E-12,4.561E-12,4.496E-12,4.456E-12
790.0E-3,5.381E-12,4.727E-12,4.588E-12,4.517E-12,4.475E-12
800.0E-3,5.546E-12,4.778E-12,4.622E-12,4.544E-12,4.499E-12
810.0E-3,5.761E-12,4.844E-12,4.667E-12,4.580E-12,4.530E-12
820.0E-3,6.038E-12,4.931E-12,4.726E-12,4.626E-12,4.570E-12
830.0E-3,6.395E-12,5.044E-12,4.802E-12,4.687E-12,4.622E-12
840.0E-3,6.853E-12,5.194E-12,4.901E-12,4.765E-12,4.690E-12
850.0E-3,7.440E-12,5.392E-12,5.033E-12,4.868E-12,4.778E-12
860.0E-3,8.190E-12,5.654E-12,5.207E-12,5.004E-12,4.895E-12
870.0E-3,9.148E-12,5.996E-12,5.439E-12,5.186E-12,5.050E-12
880.0E-3,10.37E-12,6.443E-12,5.747E-12,5.428E-12,5.258E-12
890.0E-3,11.92E-12,7.024E-12,6.151E-12,5.749E-12,5.535E-12
