Vin ,N10:d Vr 0.8  (A),N10:d Vr 1  (A),N10:d Vr 1.2  (A),N10:d Vr 1.4  (A),N10:d Vr 1.6  (A),N10:d Vr 1.8  (A)
630.0E-3,7.640E-9,68.73E-12,4.846E-12,4.394E-12,4.238E-12,4.082E-12
640.0E-3,9.483E-9,86.25E-12,4.935E-12,4.395E-12,4.238E-12,4.082E-12
650.0E-3,11.73E-9,108.5E-12,5.051E-12,4.395E-12,4.238E-12,4.082E-12
660.0E-3,14.44E-9,136.8E-12,5.204E-12,4.396E-12,4.238E-12,4.082E-12
670.0E-3,17.69E-9,172.7E-12,5.407E-12,4.397E-12,4.238E-12,4.082E-12
680.0E-3,21.53E-9,218.3E-12,5.674E-12,4.398E-12,4.238E-12,4.082E-12
690.0E-3,26.03E-9,276.1E-12,6.025E-12,4.399E-12,4.238E-12,4.082E-12
700.0E-3,31.21E-9,349.5E-12,6.483E-12,4.401E-12,4.238E-12,4.082E-12
710.0E-3,37.07E-9,442.6E-12,7.078E-12,4.403E-12,4.238E-12,4.082E-12
720.0E-3,43.57E-9,560.5E-12,7.848E-12,4.407E-12,4.238E-12,4.082E-12
730.0E-3,50.59E-9,709.9E-12,8.841E-12,4.411E-12,4.238E-12,4.082E-12
740.0E-3,57.95E-9,898.9E-12,10.12E-12,4.416E-12,4.238E-12,4.082E-12
750.0E-3,65.38E-9,1.138E-9,11.76E-12,4.422E-12,4.238E-12,4.082E-12
760.0E-3,72.50E-9,1.440E-9,13.87E-12,4.431E-12,4.238E-12,4.082E-12
770.0E-3,78.83E-9,1.821E-9,16.58E-12,4.442E-12,4.238E-12,4.082E-12
780.0E-3,83.86E-9,2.300E-9,20.04E-12,4.456E-12,4.238E-12,4.082E-12
790.0E-3,87.12E-9,2.903E-9,24.48E-12,4.475E-12,4.238E-12,4.082E-12
800.0E-3,88.28E-9,3.659E-9,30.15E-12,4.499E-12,4.238E-12,4.082E-12
810.0E-3,87.24E-9,4.604E-9,37.41E-12,4.530E-12,4.239E-12,4.082E-12
820.0E-3,84.08E-9,5.781E-9,46.70E-12,4.570E-12,4.239E-12,4.082E-12
830.0E-3,79.11E-9,7.241E-9,58.56E-12,4.622E-12,4.239E-12,4.082E-12
840.0E-3,72.79E-9,9.042E-9,73.72E-12,4.690E-12,4.239E-12,4.082E-12
850.0E-3,65.65E-9,11.25E-9,93.08E-12,4.778E-12,4.240E-12,4.082E-12
860.0E-3,58.16E-9,13.94E-9,117.8E-12,4.895E-12,4.240E-12,4.082E-12
870.0E-3,50.71E-9,17.17E-9,149.3E-12,5.050E-12,4.241E-12,4.082E-12
880.0E-3,43.60E-9,21.03E-9,189.6E-12,5.258E-12,4.242E-12,4.082E-12
890.0E-3,37.01E-9,25.57E-9,240.9E-12,5.535E-12,4.243E-12,4.082E-12
900.0E-3,31.06E-9,30.83E-9,306.4E-12,5.902E-12,4.244E-12,4.082E-12
910.0E-3,25.81E-9,36.82E-9,389.9E-12,6.386E-12,4.246E-12,4.082E-12
920.0E-3,21.26E-9,43.49E-9,496.2E-12,7.019E-12,4.248E-12,4.082E-12
930.0E-3,17.37E-9,50.74E-9,631.5E-12,7.843E-12,4.251E-12,4.082E-12
