Vin ,N10:d l 6e-07  (A),N10:d l 1.2e-06  (A),N10:d l 1.8e-06  (A),N10:d l 2.4e-06  (A),N10:d l 6e-06  (A),N10:d l 1.2e-05  (A)
630.0E-3,10.15E-12,4.394E-12,4.156E-12,4.093E-12,3.983E-12,3.916E-12
640.0E-3,10.16E-12,4.395E-12,4.157E-12,4.094E-12,3.983E-12,3.917E-12
650.0E-3,10.16E-12,4.395E-12,4.157E-12,4.094E-12,3.984E-12,3.917E-12
660.0E-3,10.16E-12,4.396E-12,4.158E-12,4.095E-12,3.984E-12,3.918E-12
670.0E-3,10.17E-12,4.397E-12,4.158E-12,4.096E-12,3.985E-12,3.919E-12
680.0E-3,10.17E-12,4.398E-12,4.159E-12,4.097E-12,3.986E-12,3.921E-12
690.0E-3,10.18E-12,4.399E-12,4.161E-12,4.098E-12,3.988E-12,3.923E-12
700.0E-3,10.19E-12,4.401E-12,4.162E-12,4.100E-12,3.990E-12,3.925E-12
710.0E-3,10.21E-12,4.403E-12,4.164E-12,4.102E-12,3.993E-12,3.928E-12
720.0E-3,10.22E-12,4.407E-12,4.167E-12,4.104E-12,3.996E-12,3.932E-12
730.0E-3,10.25E-12,4.411E-12,4.170E-12,4.108E-12,4.000E-12,3.938E-12
740.0E-3,10.27E-12,4.416E-12,4.175E-12,4.113E-12,4.006E-12,3.944E-12
750.0E-3,10.31E-12,4.422E-12,4.181E-12,4.118E-12,4.013E-12,3.953E-12
760.0E-3,10.36E-12,4.431E-12,4.188E-12,4.126E-12,4.022E-12,3.964E-12
770.0E-3,10.43E-12,4.442E-12,4.198E-12,4.136E-12,4.034E-12,3.979E-12
780.0E-3,10.51E-12,4.456E-12,4.211E-12,4.149E-12,4.049E-12,3.998E-12
790.0E-3,10.61E-12,4.475E-12,4.227E-12,4.165E-12,4.069E-12,4.022E-12
800.0E-3,10.75E-12,4.499E-12,4.248E-12,4.187E-12,4.095E-12,4.053E-12
810.0E-3,10.93E-12,4.530E-12,4.275E-12,4.215E-12,4.129E-12,4.094E-12
820.0E-3,11.16E-12,4.570E-12,4.311E-12,4.251E-12,4.172E-12,4.148E-12
830.0E-3,11.46E-12,4.622E-12,4.357E-12,4.298E-12,4.229E-12,4.219E-12
840.0E-3,11.85E-12,4.690E-12,4.417E-12,4.359E-12,4.304E-12,4.312E-12
850.0E-3,12.35E-12,4.778E-12,4.495E-12,4.439E-12,4.403E-12,4.437E-12
860.0E-3,13.00E-12,4.895E-12,4.599E-12,4.545E-12,4.536E-12,4.605E-12
870.0E-3,13.83E-12,5.050E-12,4.737E-12,4.688E-12,4.715E-12,4.829E-12
880.0E-3,14.91E-12,5.258E-12,4.924E-12,4.881E-12,4.955E-12,5.127E-12
890.0E-3,16.30E-12,5.535E-12,5.176E-12,5.140E-12,5.275E-12,5.519E-12
900.0E-3,18.09E-12,5.902E-12,5.512E-12,5.485E-12,5.697E-12,6.033E-12
910.0E-3,20.39E-12,6.386E-12,5.955E-12,5.941E-12,6.249E-12,6.702E-12
920.0E-3,23.34E-12,7.019E-12,6.536E-12,6.538E-12,6.969E-12,7.571E-12
930.0E-3,27.11E-12,7.843E-12,7.295E-12,7.316E-12,7.904E-12,8.699E-12
940.0E-3,31.92E-12,8.911E-12,8.280E-12,8.327E-12,9.117E-12,10.16E-12
950.0E-3,38.06E-12,10.29E-12,9.558E-12,9.638E-12,10.69E-12,12.04E-12
960.0E-3,45.87E-12,12.07E-12,11.21E-12,11.33E-12,12.72E-12,14.47E-12
970.0E-3,55.79E-12,14.37E-12,13.35E-12,13.53E-12,15.34E-12,17.61E-12
980.0E-3,68.38E-12,17.33E-12,16.11E-12,16.36E-12,18.72E-12,21.65E-12
990.0E-3,84.32E-12,21.14E-12,19.67E-12,20.02E-12,23.08E-12,26.86E-12
1.000,104.5E-12,26.03E-12,24.26E-12,24.74E-12,28.70E-12,33.56E-12
